Index Name,Name
AEX,ABN Amro
AEX,Adyen B.V. Parts Sociales
AEX,Ahold Delhaize
AEX,Akzo Nobel
AEX,ArcelorMittal
AEX,ASML NV
AEX,ASR Nederland N.V
AEX,Heineken
AEX,IMCD
AEX,ING Group
AEX,KPN
AEX,NN Group
AEX,Philips
AEX,Randstad
AEX,RELX
AEX,Shell
AEX,Wolters Kluwer
BEL_20,AB InBev SA-NV (Anheuser-Busch InBev)
BEL_20,Ackermans & van Haaren S.A.
BEL_20,ageas NV
BEL_20,Ahold Delhaize (Ahold)
BEL_20,Cofinimmo S.A.
BEL_20,D'Ieteren NV
BEL_20,Elia System Operator SA-NV
BEL_20,Engie (ex GDF Suez)
BEL_20,Etablissementen Franz Colruyt NV
BEL_20,Groupe Bruxelles Lambert S.A. (GBL)
BEL_20,KBC Groep N.V.
BEL_20,NV Bekaert SA
BEL_20,Proximus (ex Belgacom)
BEL_20,Solvay S.A.
BEL_20,Telenet Group Holding N.V.
BEL_20,ThromboGenics NV
BEL_20,UCB S.A.
CAC_40,Air Liquide
CAC_40,Airbus
CAC_40,ArcelorMittal
CAC_40,AXA
CAC_40,BNP Paribas
CAC_40,Bouygues
CAC_40,Cap Gemini
CAC_40,Carrefour
CAC_40,Crédit Agricole
CAC_40,Danone
CAC_40,Engie
CAC_40,EssilorLuxottica
CAC_40,Eurofins Scientific
CAC_40,Hermès
CAC_40,Kering
CAC_40,LEGRAND
CAC_40,L'Oréal
CAC_40,LVMH Moet Hennessy Louis Vuitton
CAC_40,Michelin
CAC_40,Orange
CAC_40,Pernod Ricard
CAC_40,Publicis
CAC_40,Renault
CAC_40,SAFRAN
CAC_40,Saint-Gobain
CAC_40,Sanofi
CAC_40,Schneider Electric
CAC_40,Société Générale
CAC_40,SR.Teleperformance
CAC_40,Stellantis
CAC_40,STMicroelectronics
CAC_40,TotalEnergies
CAC_40,Unibail-Rodamco
CAC_40,Veolia Environnement
CAC_40,VINCI
CAC_40,Vivendi
OBX,Aker Solutions ASA
OBX,BW LPG Ltd
OBX,Det Norske Oljeselskap ASA
OBX,DNO International ASA (A)
OBX,Equinor
OBX,Gjensidige Forsikring ASA
OBX,Mowi
OBX,Nordic Semiconductor ASA
OBX,Norsk Hydro ASA
OBX,Norwegian Air Shuttle
OBX,Orkla AS
OBX,Otello Corporation ASA
OBX,Petroleum Geo-Services ASA
OBX,REC Silicon ASA
OBX,Royal Caribbean Cruises Ltd.
OBX,Schibsted ASA
OBX,Storebrand AsaShs
OBX,Subsea 7 S.A.
OBX,Telenor ASA
OBX,TGS-Nopec Geophysical Company ASAShs
OBX,Yara International ASA
